,sceneDateString,platform,dt
0,2014-11-13,Sentinel-1A,
1,2014-12-07,Sentinel-1A,24 days 00:00:00.000000000
2,2014-12-31,Sentinel-1A,24 days 00:00:00.000000000
3,2015-01-24,Sentinel-1A,24 days 00:00:00.000000000
4,2015-02-17,Sentinel-1A,24 days 00:00:00.000000000
5,2015-03-01,Sentinel-1A,12 days 00:00:00.000000000
6,2015-03-25,Sentinel-1A,24 days 00:00:00.000000000
7,2015-04-18,Sentinel-1A,24 days 00:00:00.000000000
8,2015-05-12,Sentinel-1A,24 days 00:00:00.000000000
9,2015-06-05,Sentinel-1A,24 days 00:00:00.000000000
10,2015-06-29,Sentinel-1A,24 days 00:00:00.000000000
11,2015-07-23,Sentinel-1A,24 days 00:00:00.000000000
12,2015-08-16,Sentinel-1A,24 days 00:00:00.000000000
13,2015-09-09,Sentinel-1A,24 days 00:00:00.000000000
14,2015-10-03,Sentinel-1A,24 days 00:00:00.000000000
15,2015-10-27,Sentinel-1A,24 days 00:00:00.000000000
16,2015-11-20,Sentinel-1A,24 days 00:00:00.000000000
17,2015-12-14,Sentinel-1A,24 days 00:00:00.000000000
18,2016-01-07,Sentinel-1A,24 days 00:00:00.000000000
19,2016-01-31,Sentinel-1A,24 days 00:00:00.000000000
20,2016-02-24,Sentinel-1A,24 days 00:00:00.000000000
21,2016-03-19,Sentinel-1A,24 days 00:00:00.000000000
22,2016-04-12,Sentinel-1A,24 days 00:00:00.000000000
23,2016-05-06,Sentinel-1A,24 days 00:00:00.000000000
24,2016-05-30,Sentinel-1A,24 days 00:00:00.000000000
25,2016-08-10,Sentinel-1A,72 days 00:00:00.000000000
26,2016-09-03,Sentinel-1A,24 days 00:00:00.000000000
27,2016-09-27,Sentinel-1A,24 days 00:00:00.000000000
28,2016-10-09,Sentinel-1A,12 days 00:00:00.000000000
29,2016-10-21,Sentinel-1A,12 days 00:00:00.000000000
30,2016-11-02,Sentinel-1A,12 days 00:00:00.000000000
31,2016-11-14,Sentinel-1A,12 days 00:00:00.000000000
32,2016-11-26,Sentinel-1A,12 days 00:00:00.000000000
33,2016-12-08,Sentinel-1A,12 days 00:00:00.000000000
34,2016-12-20,Sentinel-1A,12 days 00:00:00.000000000
35,2017-01-01,Sentinel-1A,12 days 00:00:00.000000000
36,2017-01-13,Sentinel-1A,12 days 00:00:00.000000000
37,2017-01-25,Sentinel-1A,12 days 00:00:00.000000000
38,2017-02-18,Sentinel-1A,24 days 00:00:00.000000000
46,2017-02-24,Sentinel-1B,6 days 00:00:00.000000000
39,2017-03-02,Sentinel-1A,6 days 00:00:00.000000000
47,2017-03-08,Sentinel-1B,6 days 00:00:00.000000000
40,2017-03-14,Sentinel-1A,6 days 00:00:00.000000000
48,2017-03-20,Sentinel-1B,6 days 00:00:00.000000000
41,2017-03-26,Sentinel-1A,6 days 00:00:00.000000000
49,2017-04-01,Sentinel-1B,6 days 00:00:00.000000000
42,2017-04-07,Sentinel-1A,6 days 00:00:00.000000000
50,2017-04-13,Sentinel-1B,6 days 00:00:00.000000000
43,2017-04-19,Sentinel-1A,6 days 00:00:00.000000000
51,2017-04-25,Sentinel-1B,6 days 00:00:00.000000000
44,2017-05-01,Sentinel-1A,6 days 00:00:00.000000000
52,2017-05-07,Sentinel-1B,6 days 00:00:00.000000000
45,2017-05-13,Sentinel-1A,6 days 00:00:00.000000000
53,2017-05-19,Sentinel-1B,6 days 00:00:00.000000000
54,2017-05-31,Sentinel-1B,12 days 00:00:00.000000000
55,2017-06-12,Sentinel-1B,12 days 00:00:00.000000000
56,2017-06-24,Sentinel-1B,12 days 00:00:00.000000000
57,2017-07-06,Sentinel-1B,12 days 00:00:00.000000000
58,2017-07-18,Sentinel-1B,12 days 00:00:00.000000000
59,2017-07-30,Sentinel-1B,12 days 00:00:00.000000000
60,2017-08-11,Sentinel-1B,12 days 00:00:00.000000000
61,2017-08-23,Sentinel-1B,12 days 00:00:00.000000000
62,2017-09-04,Sentinel-1B,12 days 00:00:00.000000000
63,2017-09-16,Sentinel-1B,12 days 00:00:00.000000000
64,2017-09-28,Sentinel-1B,12 days 00:00:00.000000000
